## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.gratuito,entity.PublicoAlvo,entity.Tema,entity.Subtema,entity.Assuntos,entity.Segmentos,entity.DatasEspeciais,entity.Produtor,entity.perfilusuario,entity.familia,entity.PorteEmpresa,entity.TipoUsuario,entity.codigoCronos
10000,Como elaborar roteiros de viagens personalizados,Artigo,O turismo personalizado é uma excelente maneira de ampliar sua clientela e fidelizar os clientes,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/CAPAS_ARTIGOS_APP/1/1.jpg,0,"https://www.sebrae.com.br/sites/PortalSebrae/arquivos/como-elaborar-roteiros-de-viagens-personalizados,e34699b2001c5810VgnVCM1000001b00320aRCRD",,,Sim,MEI; EPP; ME,Mercado e Vendas,DEMANDA DE CONSUMO,Turismo; Fidelizar ; Viagens ,Agências de viagem,1,NA,,,MEI; EPP; ME,Pessoa Jurídica,cbc85962-af58-36a0-a34f-bb60671e4dda
10001,Vantagens de contratar influenciadores digitais para pequenos negócios,Artigo,Os influenciadores digitais oferecem benefícios significativos para os pequenos negócios no Tik Tok,,0,"https://www.sebrae.com.br/sites/PortalSebrae/arquivos/vantagens-de-contratar-influenciadores-digitais-para-pequenos-negocios,c6d79ccf4a293910VgnVCM1000001b00320aRCRD",,,Sim,MEI; EPP; ME,Inovação,MIDIAS ONLINE,influenciadores digitais tik tok,Todos,0,NA,,,MEI; EPP; ME,Pessoa Jurídica,7cb96a41-c894-3cf6-8099-e767afd78f48
10002,10 ideias de como ganhar dinheiro na internet sem sair de casa,Artigo,Conheça algumas possibilidades para ter o seu próprio negócio sem sair de casa.,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/CAPAS_ARTIGOS_APP/4/4.png,0,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/10-ideias-de-como-ganhar-dinheiro-na-internet-sem-sair-de-casa,4a5cc4ec9b805810VgnVCM100000d701210aRCRD",,,Sim,PF,Empreendedorismo,ABERTURA DE EMPRESA,digital; trabalho de casa; home office; curso online,Todos,0,NA,,,PF,Pessoa Física,a6c7b981-e10e-35ef-9f30-8d68e80d1bbb
10003,10 ideias de negócios para ganhar mais de 4 mil reais por mês,Artigo,Apostar na jornada do empreendedorismo é o sonho de muitas pessoas. A ideia de investir em algo inovador tem ganhado cada vez mais investimento dos brasileiros.,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/CAPAS_ARTIGOS_APP/5/5.jpg,0,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/10-ideias-de-negocios-para-ganhar-mais-de-4-mil-reais-por-mes,11f013c10a29e710VgnVCM100000d701210aRCRD",,,Sim,MEI; EPP; ME,Empreendedorismo,COMÉRCIO,empreendedor; como ganhar dinheiro; sociais; renda extra; locutor; móveis; redes; designer; investimento,Todos,0,NA,,,MEI; EPP; ME,Pessoa Jurídica,8e7b69a8-a5a5-3098-990e-5eb0d994a9b3
10004,10 Ideias de posts para a sua confeitaria aumentar as vendas na Páscoa,Artigo,Veja dicas de criação de conteúdo para o Instagram e outras ações para envolver e encantar os clientes na Páscoa.,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/CAPAS_ARTIGOS_APP/6/6.jpg,0,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/10-ideias-de-posts-para-a-sua-confeitaria-aumentar-as-vendas-na-pascoa,a4223ce8fa1a6810VgnVCM1000001b00320aRCRD",,,Sim,MEI; EPP; ME,Mercado e Vendas,ESTRATÉGIA DE VENDA,Posts; Instagram; Páscoa,Comércio varejista de alimentos e bebidas; Panificação,1,NA,,,MEI; EPP; ME,Pessoa Jurídica,1c069a8e-19d8-3739-9ef3-525b6fab0933
10005,10 Ideias para empreender com menos de 500 reais,Artigo,"Novos negócios para o MEI, conheça dez ideias para empreender com menos de 500 reais",https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/CAPAS_ARTIGOS_APP/7/7.jpg,0,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/10-ideias-para-empreender-com-menos-de-500-reais,4db3a3e58cfbe710VgnVCM100000d701210aRCRD",,,Sim,MEI,Empreendedorismo,COMÉRCIO,mei; empreendedor; empreendedorismo; profissionais liberais; ideias de negócios; MEIs; negocios; empreender; planejamento,Todos,0,NA,,,MEI,Pessoa Jurídica,b19f8cf2-52e9-39a7-a6ed-118948a89226
10006,10 fatores-chave de sucesso para melhorar o seu bar ou restaurante.,Artigo,Alguns pontos influenciam o desempenho de bares e restaurantes. Listamos aqui quais são eles. Acesse a ferramenta do Sebrae criada para aprimorar a sua atuação.,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/CAPAS_ARTIGOS_APP/8/8.jpg,0,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/12-fatores-chave-de-sucesso-em-bares-e-restaurantes,d7e37b5ba5527510VgnVCM1000004c00210aRCRD",,,Sim,MEI; EPP; ME,Mercado e Vendas,SATISFAÇÃO,bares; alimentos; bebidas; restaurantes,Serviços de alimentação,0,NA,,,MEI; EPP; ME,Pessoa Jurídica,03573653-a713-3889-8ece-93eb482bcc80
10007,5 dicas para bombar suas vendas na Páscoa,Artigo,"A época mais deliciosa do ano pede criatividade. Confira algumas maneiras de aproveitar a data e vender mais, se destacando da concorrência.",https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/CAPAS_ARTIGOS_APP/9/9.png,0,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/5-dicas-para-bombar-suas-vendas-na-pascoa,e639a9da467bf710VgnVCM100000d701210aRCRD",,,Sim,MEI; ME,Empreendedorismo,ATITUDE EMPREENDEDORA,5 dicas; páscoa; vendas,Todos,1,NA,,,MEI; ME,Pessoa Jurídica,833095b6-1d6b-3b5b-991a-e1622cc93016
10008,5 motivos para o seu varejo participar da Black Friday ,Artigo,Saiba por que é importante preparar o seu varejo para uma das maiores datas do ano: a Black Friday.,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/CAPAS_ARTIGOS_APP/11/11.png,0,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/5-motivos-para-o-seu-varejo-participar-da-black-friday-2022,0c42ad08d6044810VgnVCM100000d701210aRCRD",,,Sim,MEI; EPP; ME,Mercado e Vendas,VENDA VAREJISTA,Black Friday; Varejo,Comércio atacadista rural; Comércio varejista de alimentos e bebidas; Comércio da moda; Comércio varejista - Diversos; Comércio varejista - Diversos; Panificação; Comércio de automóveis; Comércio varejista de autopeças; Comércio varejista de informática; Comércio varejista de materiais de construção,1,NA,,,MEI; EPP; ME,Pessoa Jurídica,904a4709-5e03-3510-bf6a-642870f5d3c0
10009,8 Passos para criar um site de vendas,Artigo,Site de vendas é um dos melhores canais de relacionamento e comunicação entre empresa e cliente.,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/CAPAS_ARTIGOS_APP/12/12.jpg,0,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/8-passos-para-criar-um-site-de-vendas,ac3ed41f2ddb6810VgnVCM1000001b00320aRCRD",,,Sim,MEI; ME,Inovação,REDE SOCIAL,Site de vendas; E-commerce; Venda Online,Todos,0,NA,,,MEI; ME,Pessoa Jurídica,b0fb8379-b0a7-3d8c-a619-641b8ba30199
