## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.gratuito,entity.PublicoAlvo,entity.Tema,Entity.Subtema,Entity.Assuntos,entity.Segmentos,entity.DatasEspeciais,entity.Produtor,entity.perfilusuario,entity.familia,entity.PorteEmpresa,entity.TipoUsuario,entity.codigoCronos
1101,10 ideias de como ganhar dinheiro na internet sem sair de casa,Artigo,Conheça algumas possibilidades para ter o seu próprio negócio sem sair de casa.,"https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/Artigos/Imagens/xImagem_artigo_ganhar,P20dinheiro,P20sem,P20sair,P20de,P20casa.png.pagespeed.ic.6DO3a-lWQm.png",,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/10-ideias-de-como-ganhar-dinheiro-na-internet-sem-sair-de-casa,4a5cc4ec9b805810VgnVCM100000d701210aRCRD",,,Sim,PF,Empreendedorismo,Abertura De Empresa,Digital; Home Office; Curso Online; Trabalho De Casa,Todos,0,NA,,,PF,Pessoa Física,
1102,Baixe planilha gratuita de precificação para vender nos marketplaces,Artigo,"Ferramenta gratuita compara opções e aponta o preço correto para vender nos marketplaces, de acordo com a margem de lucro desejada no e-commerce",https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/MEI/Jornada%20MEI/teste%20assinaturas%20de%20autor/x6.png.pagespeed.ic.7WbN-rw1S5.png,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/calculadora-do-sebrae-aprenda-a-precificar-e-venda-no-marketplace,5f87f30b5eda0810VgnVCM100000d701210aRCRD",,,Sim,PF; MEI; ME,Mercado e Vendas,Comércio Eletrônico,Calculadora; Calcular; Comercializar; Despesas; Equilibrar; Estratégica; Margem; Marketing; Marketplace; Negócio; Planilha; Precificação; Preços; Produtos; Receitas; Serviços,Todos,0,NA,,,PF; MEI; ME,Pessoa Física; Pessoa Jurídica,
1103,Empréstimo para MEI e Pequenas Empresas: compare taxas e bancos,Artigo,"O guia completo para MEI e pequenas empresas fazerem simulação de empréstimo. Compare taxas, juros e bancos de acordo com o seu objetivo de crédito.",https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/MEI/Jornada%20MEI/teste%20assinaturas%20de%20autor/x6.png.pagespeed.ic.7WbN-rw1S5.png,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/emprestimo-para-mei-e-pequenas-empresas-compare-taxas-e-bancos,1a87dda5de83b810VgnVCM1000001b00320aRCRD",,,Sim,MEI,Finanças,Empréstimo,,Todos,0,NA,,,MEI,Pessoa Jurídica,
1104,Novo Emissor de NF-e Sebrae,Artigo,Conheça o novo emissor de NF-e do Sebrae e veja as vantagens para o seu negócio.,,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/novo-emissor-de-nf-e-sebrae,952bea291af83810VgnVCM100000d701210aRCRD",,,Sim,MEI; ME; EPP,Finanças,Pagamento,Nota Fiscal Eletrônica; Nf-E; Emissor; Ct-E,Todos,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
1105,Planilha Excel de controle de Fluxo de Caixa e simulação de crédito,Artigo,Conheça a planilha para contribuir com o controle do fluxo de caixa (entradas e saídas) e simulação de parcelas de crédito.,https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/MEI/Jornada%20MEI/teste%20assinaturas%20de%20autor/x6.png.pagespeed.ic.7WbN-rw1S5.png,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/planilha-de-controle-de-fluxo-de-caixa-e-simulacao-de-credito,4e2c1b97904a1710VgnVCM1000004c00210aRCRD",,,Sim,MEI; ME; EPP,Finanças,Fluxo De Caixa,Coronavírus; Corona; Covid-19; Crédito; Ferramentas; Planilhas; Fluxo De Caixa,Todos,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
1106,Conheça as linhas de crédito disponíveis para MEI,Artigo,Saiba quais são os procedimentos necessários para a solicitação de um empréstimo.,https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/MEI/Jornada%20MEI/teste%20assinaturas%20de%20autor/x6.png.pagespeed.ic.7WbN-rw1S5.png,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/conheca-as-linhas-de-credito-disponiveis-para-mei,cb7b198074952810VgnVCM100000d701210aRCRD",,,Sim,MEI,Finanças,Serviços Financeiros,Serviço Financeiro; Credito; Empréstimo; Finanças,Todos,0,NA,,,MEI,Pessoa Jurídica,
1107,Aprenda como fazer a declaração anual do MEI,Artigo,Confira informações sobre os procedimentos para realização da declaração anual do MEI passo a passo.,https://www.sebrae.com.br/Sebrae/Portal Sebrae/UFs/AP/Imagens/Maikon Richardson Analista de Negócios do Sebrae Amapá.png,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/ap/artigos/como-fazer-a-declaracao-anual-do-mei,944c95f326b66410VgnVCM1000003b74010aRCRD",,,Sim,MEI,Leis,Microempreendedor Individual,Declaração Anual Do Mei; Declaração Anual De Microempreendedor Individual; Como Fazer A Declaração Anual Do Mei Gratuito; Declaração Anual Mei 2023 Como Fazer; Como Reimprimir A Declaração Anual Do Mei; Declaração Anual Mei Gratuita; Qual O Valor Da Declaração Anual Do Mei,Todos,0,AP,,,MEI,Pessoa Jurídica,
1108,Planilha em Excel para auxiliar na construção do fluxo de caixa,Artigo,"Ferramenta é útil para realizar a análise financeira da empresa, que deve projetar, para períodos futuros, todas as entradas e as saídas de recursos financeiros",https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/MEI/Jornada%20MEI/teste%20assinaturas%20de%20autor/x6.png.pagespeed.ic.7WbN-rw1S5.png,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/artigoshome/planilha-ajuda-a-fazer-fluxo-de-caixa-da-sua-empresa,adf8d53342603410VgnVCM100000b272010aRCRD",,,Sim,MEI; ME,Finanças,Contabilidade,,Todos,0,NA,,,MEI; ME,Pessoa Jurídica,
1109,Monte um plano de negócio fácil e simples,Artigo,"Com alguns passos, monte um plano de negócios e planeje bem o funcionamento de sua empresa para ter mais sucesso.",https://www.sebrae.com.br/Sebrae/Portal Sebrae/UFs/AP/Imagens/Maikon Richardson Analista de Negócios do Sebrae Amapá.png,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/ap/artigos/monte-um-plano-de-negocio-facil-e-simples,17f2850c4d8f2610VgnVCM1000004c00210aRCRD",,,Sim,MEI; ME,Planejamento,Plano De Negócios,Plano De Negócios; Planejar Empresa; Modelo Plano De Negócios; Plano De Negócio Para Microempresa,Todos,0,AP,,,MEI; ME,Pessoa Jurídica,
1110,MEI x Imposto de Renda,Artigo,É preciso saber calcular os lucros obtidos com a atividade do MEI para fazer corretamente a Declaração de Imposto de Renda da Pessoa Física.,"https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/Banners%20Publicitarios/xdespesas,P20-,P20banner,P20.jpg.pagespeed.ic.Il5cRF4haq.jpg",,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/mei-x-imposto-de-renda,2f48921aaebab510VgnVCM1000004c00210aRCRD",,,Sim,MEI,Leis,Microempreendedor Individual,Como Declarar Imposto De Renda,Todos,0,NA,,,MEI,Pessoa Jurídica,
1111,Como emitir e pagar a guia DAS-MEI,Artigo,Pagar mensalmente a guia DAS-MEI é a principal obrigação de todo o MEI. E é muito fácil e prático emitir e pagar o documento.,https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/Artigos/Imagens/ximagem-mei-como-emitir-e-pagar-a-guia-das-mei-jpeg.jpg.pagespeed.ic.w5hRXlYHQx.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/como-emitir-e-pagar-a-guia-das-mei,f59c66691a847810VgnVCM1000001b00320aRCRD",,,Sim,MEI,Empreendedorismo,Empreendedor,,Todos,0,NA,,,MEI,Pessoa Jurídica,
1112,Como saber qual enquadramento tributário ideal para a minha empresa,Artigo,Confira a análise dos três tipos de regimes utilizados no Brasil e saiba como consultar o enquadramento tributário.,https://www.sebrae.com.br/Sebrae/Portal Sebrae/UFs/AP/Imagens/Maikon Richardson Analista de Negócios do Sebrae Amapá.png,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/ap/artigos/como-saber-qual-o-enquadramento-tributario-para-minha-empresa,2ae2ace85e4ef510VgnVCM1000004c00210aRCRD",,,Sim,PF,Empreendedorismo,Abertura De Empresa,,Todos,0,AP,,,PF,Pessoa Física,
1113,O que são custos fixos e custos variáveis,Artigo,"Conhecer os custos de sua empresa é vital para controlar e planejar os gastos, impactando nos lucros ou prejuízos da empresa.",https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/resources/img/xsebrae_logo_azul.png.pagespeed.ic.BDIPNtclTd.png,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/ap/artigos/saiba-o-que-sao-custos-fixos-e-custos-variaveis,7cf697daf5c55610VgnVCM1000004c00210aRCRD",,,Sim,MEI; ME,Finanças,Análise De Custo,,Todos,0,AP,,,MEI; ME,Pessoa Jurídica,
1114,MEI precisa de Inscrição Estadual?,Artigo,"Ao se constituir como MEI, o empreendedor passa a ter diversos direitos e benefícios, mas também algumas obrigações.",https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/Artigos/Imagens/ximagem_mei-precisa-de-inscricao-estadual_portrait-man-working-jpg..jpg.pagespeed.ic.yNl1BfA2Z7.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/mei-precisa-de-inscricao-estadual,44687a3a415f5810VgnVCM1000001b00320aRCRD",,,Sim,MEI,Leis,Microempreendedor Individual,Mei; Inscrição Estadual,Todos,0,NA,,,MEI,Pessoa Jurídica,
1115,Saiba como emitir seu comprovante de CNPJ,Artigo,Saiba para que serve o comprovante de situação cadastral e o que você encontra no documento.,https://www.sebrae.com.br/Sebrae/Portal Sebrae/UFs/AP/Imagens/Maikon Richardson Analista de Negócios do Sebrae Amapá.png,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/ap/artigos/emitir-comprovante-de-situacao-cadastral-no-cnpj,866204f99f103610VgnVCM1000004c00210aRCRD",,,Sim,MEI; ME; EPP,Empreendedorismo,Organização Empresarial,Emitir Comprovante De Situação Cadastral No Cnpj,Todos,0,AP,,,MEI; ME; EPP,Pessoa Jurídica,
1116,Marketing digital para iniciantes: o que é e como funciona,Artigo,"Descubra o que é Marketing Digital, como funciona, suas vantagens e benefícios para o seu negócio. Aprenda como começar do zero e montar sua estratégia.",https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/MEI/Jornada%20MEI/teste%20assinaturas%20de%20autor/x6.png.pagespeed.ic.7WbN-rw1S5.png,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/marketing-digital-para-iniciantes-o-que-e-e-como-funciona,9f1ac3399eeab810VgnVCM1000001b00320aRCRD",,,Sim,MEI; ME; EPP,Mercado e Vendas,Marketing,,Todos,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
1117,Gestão do tempo: como otimizar o uso do seu tempo,Artigo,"Quando se tem prioridades, metas e planos bem definidos, é possível organizar as atividades e encontrar tempo para tudo",https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/MEI/Jornada%20MEI/teste%20assinaturas%20de%20autor/x6.png.pagespeed.ic.7WbN-rw1S5.png,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/gestao-do-tempo-como-otimizar-o-uso-do-seu-tempo,bde539603d5ad710VgnVCM100000d701210aRCRD",,,Sim,MEI; ME,Empreendedorismo,Gestão,Gestão; Tempo; Empreendedorismo; Mei; Uber; Metas; Atividades,Todos,0,NA,,,MEI; ME,Pessoa Jurídica,
1118,Como abrir um MEI,Artigo,"Um CNPJ de MEI é necessário para que o empreendedor emita nota fiscal e possa usufruir das suas vantagens, que incluem o acesso a benefícios previdenciários",https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/Artigos/Banners/xbanner_destaque_artigo_Como_vender_no_Marketplace.png.pagespeed.ic.PbCzJ9cO-W.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/decidiu-empreender-em-2022-veja-como-abrir-um-mei-de-graca,6c688d756edbf710VgnVCM100000d701210aRCRD",,,Sim,PF,Empreendedorismo,Negócio,Mei; Microempreendedor; Microempreendedor Individual; Abertura; Empresa; Negocio; Registro; Inscrição; Grátis,Todos,0,NA,,,PF,Pessoa Física,
1119,"Tráfego pago: O que é, como funciona e principais ferramentas",Artigo,"Quer melhorar os acessos no seu site ou rede social? O tráfego pago pode ser uma ótima opção, viu? Vem aprender como utilizar essa ferramenta para vender mais!",https://www.sebrae.com.br/Sebrae/Portal Sebrae/UFs/SP/Anexos/Tráfego Pago.png,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/sp/conteudo_uf/trafego-pago-o-que-e-como-funciona-e-principais-ferramentas,7e189fd861968810VgnVCM1000001b00320aRCRD",,,Sim,MEI; ME; EPP,Empreendedorismo,Gestão,Tráfego Pago,Todos,0,SP,,,MEI; ME; EPP,Pessoa Jurídica,
1120,Como cuidar da saúde mental do empreendedor,Artigo,Estudos mostram que mais de 70% dos empreendedores do país sofrem de algum tipo de desordem mental causada principalmente por estresse.,https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/Artigos/Imagens/ximagem_ebook_saude-mental-do-empreendedor.jpg.pagespeed.ic.MoaVOXR7F5.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/como-cuidar-da-saude-mental-do-empreendedor,b8990d1421327810VgnVCM1000001b00320aRCRD",,,Sim,MEI; ME; EPP,Empreendedorismo,Gestão,Estudos; Empreendedores; Desordem Mental; Estresse,Todos,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
1121,MEI precisa declarar imposto de renda pessoa jurídica e pessoa física?,Artigo,Você também tem esta dúvida? Vamos te auxiliar e esclarecer para que você não fique com pendências na Receita Federal,https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/Artigos/Imagens/ximagem_mei_mei-precisa-declarar-imposto-de-renda-pessoa-juridica-e-pessoa-fisica_homem.jpg.pagespeed.ic.jAjtfMErrI.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/mei-precisa-declarar-imposto-de-renda-pessoa-juridica-e-pessoa-fisica,8c08efcb3a6b8810VgnVCM1000001b00320aRCRD",,,Sim,MEI,Empreendedorismo,Microempreendedor Individual,,Todos,0,NA,,,MEI,Pessoa Jurídica,
1122,Como emitir Nota Fiscal Eletrônica em 2024 [PASSO A PASSO com Sebrae!],Vídeo,Como emitir Nota Fiscal Eletrônica em 2024 [PASSO A PASSO com Sebrae!],https://i.ytimg.com/vi_webp/RuJA6Onhx-E/maxresdefault.webp,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/ba/videos/vídeos/como-emitir-nota-fiscal-eletronica-em-2024-passo-a-passo-com-sebrae,76ddf74561edf810VgnVCM1000001b00320aRCRD",,,Sim,MEI; ME; EPP,Empreendedorismo,,#Notafiscal #Mei #Empreendedorismo,Todos,0,BA,,,MEI; ME; EPP,Pessoa Jurídica,
1123,Entenda o que são as práticas de ESG,Artigo,"ESG abrange um conjunto de práticas voltadas para a preservação do meio ambiente, responsabilidade com a sociedade e transparência empresarial.",https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/Imagens%20SebraeNA/xesgg.jpg.pagespeed.ic.yTP_oGuzIX.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/entenda-o-que-sao-as-praticas-de-esg,66c7e3ac39f52810VgnVCM100000d701210aRCRD",,,Sim,MEI; ME; EPP,Inovação,Sustentabilidade,Esg; Impacto Social; Meio Ambiente; Governança; Transparência Empresarial; Responsabilidade Social,Todos,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
1124,Já ouviu falar da síndrome do impostor?,Artigo,Conheça os sinais e saiba como vencê-la.,https://www.sebrae.com.br/Sebrae/Portal Sebrae/Artigos/Imagens/imagem_empreendedorismo_ja-ouviu-falar-da-sindrome-do-impostor.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/ja-ouviu-falar-da-sindrome-do-impostor,35f899905be96810VgnVCM1000001b00320aRCRD",,,Sim,MEI; ME; EPP,Empreendedorismo,Empreendedor,,Todos,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
